Part,Title,Video,Audio,Briefing,Facts,Study Guide,Report,Quiz,Flashcards,Mindmap,Slides (P/D/F),Infographics (C/S/B),Missing Required,Launch Ready
1,"The Pre-Islamic Arabian Context",✓,✓,✓,✓,✗,✗,✓,✓,✓,13/12/8,CSB,none,YES
2,"Arab Tribes and Their Migrations",✓,✓,✓,✓,✗,✗,✓,✓,✓,14/16/15,CSB,none,YES
3,"Political Structures in Pre-Islamic Yemen",✓,✓,✓,✓,✓,✓,✓,✓,✓,15/13/13,CSB,none,YES
4,"The Kingdom of Hirah",✓,✓,✓,✓,✓,✓,✓,✓,✓,15/14/0,CSB,none,YES
5,"The Ghassanids of Syria",✓,✓,✓,✓,✓,✓,✓,✓,✓,15/14/10,CSB,none,YES
6,"Makkah's Guardians Before Islam",✓,✓,✓,✓,✓,✓,✓,✓,✓,15/15/13,CSB,none,YES
7,"From Monotheism to Idolatry",✓,✓,✓,✓,✓,✓,✓,✓,✓,6/15/10,CSB,none,YES
8,"The Religious Landscape of Pre-Islamic Arabia",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/14,CSB,none,YES
9,"Pre-Islamic Arabian Society",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/13,CSB,none,YES
10,"The Socio-Economic World Before Islam",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/14/10,CSB,none,YES
11,"The Lineage of the Prophet ﷺ",✓,✓,✓,✓,✓,✓,✓,✓,✓,8/8/7,CSB,none,YES
12,"The Family of Hashim",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/15,CSB,none,YES
13,"The Early Life of the Prophet ﷺ",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/11,CSB,none,YES
14,"The Character of Muhammad ﷺ Before Prophethood",✓,✓,✓,✓,✓,✓,✓,✓,✓,8/15/7,CSB,none,YES
15,"The First Revelation",✓,✓,✓,✓,✓,✓,✓,✓,✓,14/10/13,CSB,none,YES
16,"The Nature of Prophetic Revelation",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/11,CSB,none,YES
17,"The Early Phases of the Call to Islam",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/13/9,CSB,none,YES
18,"The Islamic Call and the Establishment of Prayer",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/13/8,CSB,none,YES
19,"The Transition to Open Preaching",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/12/15,CSB,none,YES
20,"The Public Proclamation in Makkah",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/10,CSB,none,YES
21,"Quraysh's Opposition Strategies",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/13/8,CSB,none,YES
22,"The Persecution of Early Muslims",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/15,CSB,none,YES
23,"Early Muslim Strategies: Secrecy and Migration",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/12/12,CSB,none,YES
24,"Quraysh's Campaign Against Islam in Abyssinia",✓,✓,✓,✓,✓,✓,✓,✓,✓,16/15/13,CSB,none,YES
25,"The Escalation of Hostilities in Makkah",✓,✓,✓,✓,✓,✓,✓,✓,✓,11/9/13,CSB,none,YES
26,"The Conversions of Hamzah and Umar رضي الله عنهما",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/14/13,CSB,none,YES
27,"Quraysh's Shifting Strategies and Clan Politics",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/11,CSB,none,YES
28,"The Quraysh Boycott of Banu Hashim",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/14,CSB,none,YES
29,"The Final Negotiations in Makkah",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/8,CSB,none,YES
30,"The Year of Grief",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/14/10,CSB,none,YES
31,"The Journey to Taif",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/15/15,CSB,none,YES
32,"Pre-Hijrah Da'wah in Makkah",✓,✓,✓,✓,✓,✓,✓,✓,✓,10/13/10,CSB,none,YES
33,"The Eleventh Year of Prophethood",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/8,CSB,none,YES
34,"The Isra and Mi'raj",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/10,CSB,none,YES
35,"The First Pledge of Aqabah",✓,✓,✓,✓,✓,✓,✓,✓,✓,9/15/11,CSB,none,YES
