partNumber,resourceType,section,issueType,severity,problem,recommendation,fixSource,affectsLaunch
1,briefing,table section,tab_table_unrendered,high,Content contains tab-separated columns that render as plain text without structure.,"Renderer now handles tab tables — verify visually. If still broken, source may need re-encoding.",renderer,true
1,briefing,long paragraph,dense_paragraph_no_headings,low,One or more paragraphs exceed 600 characters without an internal line break.,Split at sentence boundaries where logical. Flag for human review — do not auto-split.,source_content,false
1,briefing,(entire resource),dense_paragraph_no_headings,low,Long content block has no discernible heading structure.,Add section headings to source content. Requires human judgment — do not auto-add.,source_content,false
1,briefing,nested list section,nested_bullets_flattened,low,Source contains indented bullet items (2+ spaces + *). These were previously rendered as flat bullets.,Renderer now detects indentation and renders nested lists — verify visually.,renderer,false
1,facts,fact/list section,repeated_short_lines_not_bullets,medium,Found 1 cluster(s) of 4+ consecutive short sentences that should be a bullet list.,Convert clusters of short factual sentences to bullet lists in source. Low-risk auto-fix candidate.,source_content,false
2,briefing,table section,tab_table_unrendered,high,Content contains tab-separated columns that render as plain text without structure.,"Renderer now handles tab tables — verify visually. If still broken, source may need re-encoding.",renderer,true
2,briefing,(throughout),encoding_corruption,medium,Text contains garbled/corrupted characters (possible UTF-8 encoding issue in source file).,Re-save source file as UTF-8 without BOM. Check for Windows-1252 encoding artifacts.,source_content,false
2,briefing,name notes,name_notes_mixed_in_list,low,"5 ""was called / name was"" notes are scattered inline with lineage or body text.","Group into a ""Name Notes"" or ""Also Known As"" callout section for easier scanning.",both,false
2,briefing,nested list section,nested_bullets_flattened,low,Source contains indented bullet items (2+ spaces + *). These were previously rendered as flat bullets.,Renderer now detects indentation and renders nested lists — verify visually.,renderer,false
2,facts,(throughout),encoding_corruption,medium,Text contains garbled/corrupted characters (possible UTF-8 encoding issue in source file).,Re-save source file as UTF-8 without BOM. Check for Windows-1252 encoding artifacts.,source_content,false
2,facts,name notes,name_notes_mixed_in_list,low,"6 ""was called / name was"" notes are scattered inline with lineage or body text.","Group into a ""Name Notes"" or ""Also Known As"" callout section for easier scanning.",both,false
2,facts,fact/list section,repeated_short_lines_not_bullets,medium,Found 5 cluster(s) of 4+ consecutive short sentences that should be a bullet list.,Convert clusters of short factual sentences to bullet lists in source. Low-risk auto-fix candidate.,source_content,false
2,facts,(entire resource),dense_paragraph_no_headings,low,Long content block has no discernible heading structure.,Add section headings to source content. Requires human judgment — do not auto-add.,source_content,false
3,briefing,(entire resource),dense_paragraph_no_headings,low,Long content block has no discernible heading structure.,Add section headings to source content. Requires human judgment — do not auto-add.,source_content,false
3,facts,fact/list section,repeated_short_lines_not_bullets,medium,Found 3 cluster(s) of 4+ consecutive short sentences that should be a bullet list.,Convert clusters of short factual sentences to bullet lists in source. Low-risk auto-fix candidate.,source_content,false
3,facts,(entire resource),dense_paragraph_no_headings,low,Long content block has no discernible heading structure.,Add section headings to source content. Requires human judgment — do not auto-add.,source_content,false
4,facts,fact/list section,repeated_short_lines_not_bullets,medium,Found 3 cluster(s) of 4+ consecutive short sentences that should be a bullet list.,Convert clusters of short factual sentences to bullet lists in source. Low-risk auto-fix candidate.,source_content,false
4,facts,(entire resource),dense_paragraph_no_headings,low,Long content block has no discernible heading structure.,Add section headings to source content. Requires human judgment — do not auto-add.,source_content,false
4,report,(entire resource),dense_paragraph_no_headings,low,Long content block has no discernible heading structure.,Add section headings to source content. Requires human judgment — do not auto-add.,source_content,false
5,facts,fact/list section,repeated_short_lines_not_bullets,medium,Found 1 cluster(s) of 4+ consecutive short sentences that should be a bullet list.,Convert clusters of short factual sentences to bullet lists in source. Low-risk auto-fix candidate.,source_content,false
5,report,(entire resource),dense_paragraph_no_headings,low,Long content block has no discernible heading structure.,Add section headings to source content. Requires human judgment — do not auto-add.,source_content,false
6,briefing,table section,tab_table_unrendered,high,Content contains tab-separated columns that render as plain text without structure.,"Renderer now handles tab tables — verify visually. If still broken, source may need re-encoding.",renderer,true
6,briefing,fact/list section,repeated_short_lines_not_bullets,medium,Found 2 cluster(s) of 4+ consecutive short sentences that should be a bullet list.,Convert clusters of short factual sentences to bullet lists in source. Low-risk auto-fix candidate.,source_content,false
6,briefing,long paragraph,dense_paragraph_no_headings,low,One or more paragraphs exceed 600 characters without an internal line break.,Split at sentence boundaries where logical. Flag for human review — do not auto-split.,source_content,false
6,facts,name notes,name_notes_mixed_in_list,low,"2 ""was called / name was"" notes are scattered inline with lineage or body text.","Group into a ""Name Notes"" or ""Also Known As"" callout section for easier scanning.",both,false
